timestamps,TP9,AF7,AF8,TP10,Right AUX
1680450924.722,-31.250,-36.621,-27.344,-15.625,0.000
1680450924.726,-34.180,-41.504,-32.227,-32.715,0.000
1680450924.730,-30.762,-44.434,-40.039,-38.086,0.000
1680450924.734,-29.297,-46.387,-37.598,-27.344,0.000
1680450924.738,-37.598,-40.039,-28.320,-12.695,0.000
1680450924.742,-27.344,-38.574,-20.508,3.906,0.000
1680450924.746,-23.438,-36.621,-21.484,-7.324,0.000
1680450924.750,-21.484,-37.598,-20.020,-23.926,0.000
1680450924.754,-14.160,-36.621,-16.113,-20.020,0.000
1680450924.757,-25.879,-34.668,-25.879,-5.859,0.000
1680450924.761,-29.297,-44.434,-27.832,-4.395,0.000
1680450924.765,-14.648,-33.691,-26.367,-21.973,0.000
1680450924.769,-15.625,-29.297,-30.762,-35.645,0.000
1680450924.773,-23.438,-36.133,-33.203,-26.367,0.000
1680450924.777,-25.879,-32.227,-28.809,-8.301,0.000
1680450924.781,-29.297,-30.273,-21.484,-13.184,0.000
1680450924.785,-32.227,-22.949,-20.996,-35.156,0.000
1680450924.789,-36.133,-21.484,-33.691,-45.898,0.000
1680450924.793,-33.203,-27.832,-35.645,-31.250,0.000
1680450924.796,-28.809,-33.203,-25.391,-2.930,0.000
1680450924.800,-29.785,-26.367,-18.066,1.465,0.000
1680450924.804,-32.227,-24.902,-23.926,-25.391,0.000
1680450924.808,-31.738,-34.668,-26.367,-47.363,0.000
1680450924.812,-31.738,-37.109,-21.484,-38.574,0.000
1680450924.816,-33.203,-35.156,-20.996,-24.902,0.000
1680450924.820,-34.668,-30.762,-21.973,-11.719,0.000
1680450924.824,-42.480,-36.621,-25.879,-21.484,0.000
1680450924.828,-45.898,-47.852,-33.203,-49.316,0.000
1680450924.832,-49.316,-47.852,-34.180,-51.270,0.000
1680450924.836,-46.387,-40.039,-37.109,-34.180,0.000
1680450924.839,-49.316,-49.316,-22.949,-28.320,0.000
1680450924.843,-49.805,-57.617,-16.602,-28.320,0.000
1680450924.847,-44.434,-48.828,-35.645,-47.852,0.000
1680450924.851,-38.086,-47.852,-39.062,-53.223,0.000
1680450924.855,-38.086,-54.199,-35.156,-27.832,0.000
1680450924.859,-35.645,-48.828,-24.902,-1.953,0.000
1680450924.863,-45.898,-48.828,-27.344,-12.695,0.000
1680450924.867,-51.270,-53.223,-27.832,-45.898,0.000
1680450924.871,-47.852,-45.898,-32.715,-42.969,0.000
1680450924.875,-41.992,-34.668,-34.180,-15.625,0.000
1680450924.879,-38.574,-28.809,-15.625,-7.324,0.000
1680450924.882,-42.969,-40.039,-18.555,-22.461,0.000
1680450924.886,-41.992,-46.875,-33.203,-36.133,0.000
1680450924.890,-46.875,-41.504,-32.715,-40.527,0.000
1680450924.894,-34.668,-34.180,-25.391,-24.902,0.000
1680450924.898,-29.297,-30.273,-18.066,-5.859,0.000
1680450924.902,-39.062,-29.297,-12.695,-16.602,0.000
1680450924.906,-41.016,-32.715,-20.020,-45.410,0.000
1680450924.910,-39.551,-29.785,-25.879,-46.875,0.000
1680450924.914,-34.668,-25.391,-22.949,-22.949,0.000
1680450924.918,-29.785,-33.203,-27.832,-7.324,0.000
1680450924.921,-35.645,-36.621,-31.738,-8.301,0.000
1680450924.925,-33.203,-26.855,-28.809,-22.461,0.000
1680450924.929,-23.438,-30.273,-35.156,-28.809,0.000
1680450924.933,-23.926,-30.762,-36.133,-23.926,0.000
1680450924.937,-27.344,-29.297,-37.598,-14.648,0.000
1680450924.941,-35.156,-35.156,-34.180,-5.371,0.000
1680450924.945,-41.992,-33.691,-34.668,-17.090,0.000
1680450924.949,-40.527,-35.645,-35.645,-39.551,0.000
1680450924.953,-33.691,-30.762,-26.367,-33.203,0.000
1680450924.957,-33.203,-26.367,-20.996,-8.789,0.000
1680450924.961,-39.062,-37.598,-17.090,-4.395,0.000
1680450924.964,-41.016,-45.898,-25.391,-17.578,0.000
1680450924.968,-43.945,-48.828,-30.273,-32.227,0.000
1680450924.972,-38.574,-44.434,-22.949,-37.598,0.000
1680450924.976,-33.203,-34.180,-7.324,-23.926,0.000
1680450924.980,-38.086,-26.367,-8.301,-7.324,0.000
1680450924.984,-40.527,-27.832,-32.715,-15.137,0.000
1680450924.988,-40.527,-32.227,-36.133,-42.480,0.000
1680450924.992,-35.645,-34.668,-32.715,-41.992,0.000
1680450924.996,-37.598,-37.598,-36.133,-11.230,0.000
1680450925.000,-38.574,-34.180,-29.297,4.883,0.000
1680450925.004,-33.203,-32.227,-28.320,-12.695,0.000
1680450925.007,-33.203,-33.203,-37.598,-39.062,0.000
1680450925.011,-27.832,-34.668,-34.180,-41.504,0.000
1680450925.015,-18.555,-33.691,-33.691,-27.344,0.000
1680450925.019,-25.391,-30.762,-17.578,-20.020,0.000
1680450925.023,-38.086,-33.691,-16.113,-27.344,0.000
1680450925.027,-36.621,-32.227,-35.156,-41.016,0.000
1680450925.031,-25.391,-33.203,-40.039,-50.781,0.000
1680450925.035,-29.785,-32.227,-39.551,-39.551,0.000
1680450925.039,-45.898,-41.504,-29.785,-13.672,0.000
1680450925.043,-53.223,-44.434,-27.832,-20.020,0.000
1680450925.046,-49.805,-36.621,-33.203,-46.387,0.000
1680450925.050,-40.527,-38.574,-35.156,-54.688,0.000
1680450925.054,-27.344,-38.086,-31.738,-29.297,0.000
1680450925.058,-28.320,-34.668,-27.344,-4.395,0.000
1680450925.062,-31.250,-26.855,-22.461,-14.648,0.000
