Attention,Meditation,Low-Alpha,Hight-Alpha,Low-Beta,High Beta,Low-Gamma,Mid-Gamma,Raw-Value,Delta,Theta,Class
94,40,10782,2119,3264,3527,2550,1256,-2,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,24,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,39,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,26,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,43,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,69,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,68,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,1,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,-1,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,6,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,34,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,72,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,113,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,60,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,54,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,-2,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,48,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,40,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,-6,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,25,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,74,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,28,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,43,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,-14,242180,18357,1
94,40,10782,2119,3264,3527,2550,1256,27,242180,18357,1
75,37,11792,14372,9812,8344,9555,11212,41,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,54,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,70,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,67,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,56,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,-6,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,26,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,11,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,55,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,54,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,65,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,43,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,33,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,48,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,73,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,89,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,64,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,43,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,35,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,-44,21567,86209,1
