timestamps,TP9,AF7,AF8,TP10
1683642570.960,-40.039,-36.133,-22.949,-7.812
1683642570.964,-59.082,-45.410,-37.598,-50.781
1683642570.966,-71.289,-41.992,-30.762,-74.707
1683642570.970,-55.664,-32.227,-14.648,-42.480
1683642570.974,-28.320,-22.461,-8.789,3.906
1683642570.978,-22.461,-16.113,-24.902,5.859
1683642570.982,-37.598,-35.156,-41.992,-32.227
1683642570.986,-54.199,-40.527,-31.250,-63.477
1683642570.990,-38.086,-22.949,-9.277,-34.668
1683642570.993,-5.371,-12.207,0.488,21.484
1683642570.997,0.488,-22.949,-17.578,22.949
1683642571.001,-22.461,-40.039,-39.062,-29.297
1683642571.005,-47.852,-45.410,-35.645,-66.895
1683642571.009,-45.410,-39.062,-19.531,-48.340
1683642571.012,-20.996,-26.855,-8.789,-2.930
1683642571.016,-10.742,-24.902,-19.043,8.301
1683642571.020,-31.738,-35.156,-35.645,-37.109
1683642571.024,-57.129,-44.434,-36.133,-81.055
1683642571.028,-50.293,-48.828,-22.949,-69.336
1683642571.032,-27.344,-28.320,-7.324,-20.996
1683642571.036,-23.438,-8.789,-13.184,-0.488
1683642571.039,-38.574,-25.879,-38.086,-39.551
1683642571.043,-60.547,-52.246,-45.410,-86.914
1683642571.047,-60.547,-52.246,-25.391,-78.125
1683642571.051,-38.086,-33.691,-9.277,-26.367
1683642571.055,-18.555,-24.414,-13.672,6.836
1683642571.102,-45.898,-37.598,-35.645,-70.801
1683642571.106,-33.691,-26.367,-13.184,-29.297
1683642571.110,-16.113,-13.184,-8.789,8.789
1683642571.114,-23.438,-21.484,-27.344,-7.324
1683642571.118,-49.316,-41.992,-44.922,-55.664
1683642571.122,-61.523,-41.504,-35.645,-78.613
1683642571.126,-51.270,-29.297,-18.066,-50.781
1683642571.129,-26.367,-21.484,-17.578,-6.348
1683642571.133,-19.531,-19.531,-33.203,-0.488
1683642571.137,-47.852,-38.086,-49.316,-48.340
1683642571.141,-70.801,-48.828,-43.457,-89.355
1683642571.145,-56.641,-41.504,-22.949,-62.500
1683642571.146,-31.738,-30.273,-16.113,-9.277
1683642571.150,-24.414,-21.973,-27.832,-0.977
1683642571.154,-35.645,-30.273,-44.922,-42.480
1683642571.158,-50.293,-36.621,-42.480,-73.242
1683642571.162,-45.898,-38.086,-29.297,-53.223
1683642571.166,-27.344,-28.320,-18.066,-7.324
1683642571.170,-15.137,-12.207,-22.949,12.207
1683642571.173,-26.367,-27.344,-39.062,-23.926
1683642571.177,-41.504,-41.504,-39.551,-62.012
1683642571.181,-35.645,-32.715,-21.973,-48.828
1683642571.185,-15.137,-14.648,-7.324,-2.930
1683642571.189,-6.348,-14.160,-17.090,18.555
1683642571.146,-31.738,-30.273,-16.113,-9.277
1683642571.150,-24.414,-21.973,-27.832,-0.977
1683642571.154,-35.645,-30.273,-44.922,-42.480
1683642571.158,-50.293,-36.621,-42.480,-73.242
1683642571.162,-45.898,-38.086,-29.297,-53.223
1683642571.166,-27.344,-28.320,-18.066,-7.324
1683642571.170,-15.137,-12.207,-22.949,12.207
1683642571.173,-26.367,-27.344,-39.062,-23.926
1683642571.177,-41.504,-41.504,-39.551,-62.012
1683642571.181,-35.645,-32.715,-21.973,-48.828
1683642571.185,-15.137,-14.648,-7.324,-2.930
1683642571.189,-6.348,-14.160,-17.090,18.555
1683642571.192,-18.066,-25.391,-37.109,-17.090
1683642571.196,-41.504,-41.016,-47.363,-65.430
1683642571.200,-51.270,-41.016,-35.156,-67.383
1683642571.204,-38.086,-30.762,-21.973,-24.414
1683642571.208,-23.438,-29.297,-28.320,9.766
1683642571.212,-32.715,-33.691,-45.898,-12.695
1683642571.216,-58.105,-43.945,-50.781,-62.988
1683642571.219,-62.500,-48.828,-35.156,-72.266
1683642571.223,-42.480,-49.316,-22.461,-31.250
1683642571.227,-27.832,-42.480,-24.414,1.953
1683642571.231,-39.062,-39.551,-35.156,-17.578
1683642571.235,-63.477,-49.805,-43.457,-64.941
1683642571.251,-64.453,-46.875,-26.855,-74.707
1683642571.255,-41.016,-34.180,-13.672,-35.156
1683642571.259,-17.578,-27.344,-15.625,1.465
1683642571.263,-15.625,-35.645,-27.832,-11.719
1683642571.267,-43.457,-51.758,-42.969,-60.059
1683642571.271,-57.129,-49.316,-34.668,-78.613
1683642571.275,-38.574,-31.738,-18.555,-36.133
1683642571.278,-16.602,-26.367,-17.578,10.742
1683642571.282,-19.531,-36.621,-30.273,4.883
1683642571.286,-41.992,-46.387,-40.527,-43.945
1683642571.290,-56.641,-41.992,-30.273,-70.801
1683642571.294,-45.898,-32.227,-14.648,-38.574
1683642571.296,-18.066,-22.461,-14.160,3.906
1683642571.300,-15.625,-26.855,-34.180,-0.977
